,asin,reviewerID,overall,reviewTime
682603,B00005U0JX,A1JH5J1KQAUBMP,5.0,"04 4, 2004"
1180647,B001DHXT1G,A1RSXP7MB772E3,4.0,"10 24, 2008"
1473372,B005LAIHSG,A2SQJPUCZNHMZE,5.0,"06 2, 2012"
1465009,B005LAIGPA,A2YM3KILJ1G0YJ,5.0,"02 4, 2012"
275215,6301963725,A2J57EQ9KPGXR9,5.0,"02 4, 2003"
799176,B0001BKAEE,AUM3YMZ0YRJE0,5.0,"06 3, 2004"
1103707,B000VQQJ8U,A19ZXK9HHVRV1X,2.0,"06 10, 2007"
406156,6304178360,A2CT2SA6KFE8GC,5.0,"06 16, 2006"
176204,1419838830,A20EEWWSFMZ1PN,4.0,"11 30, 2013"
797362,B0001A79EO,ASJ89T42CIUHU,3.0,"07 20, 2004"
53285,0783225792,A1J03J0HZ7KU5T,2.0,"02 17, 2011"
611708,B00005JM1F,A2Q13PHEXGR48Q,4.0,"08 5, 2003"
1151139,B0015XHP22,A331OF34UX4Y1K,2.0,"05 30, 2009"
1429013,B004UXUX4Q,A3NQU1649SH0Q4,3.0,"03 22, 2012"
1563174,B008JFUPPI,A2G4OOTGXFEXFU,5.0,"01 1, 2014"
739425,B00008DDVU,A9Q28YTLYREO7,5.0,"11 16, 2003"
678948,B00005RDSN,A16EAJTQ59LK8Z,4.0,"06 20, 2002"
404191,6304147074,A1W3FS1C2H4RCV,2.0,"07 3, 2004"
633640,B00005JNP4,AS6SH2JM2YY3H,5.0,"03 18, 2006"
1174871,B001C4ZQ9I,A3M6RVUVZOQZLB,4.0,"09 14, 2008"
1053112,B000N3T0DW,A1TJPMB7N776WS,5.0,"11 5, 2006"
320439,630256185X,ANCOMAI0I7LVG,5.0,"04 23, 2014"
1591586,B009AMAKBI,AQ0EO10KTRJ4V,2.0,"02 3, 2013"
1201306,B001HN697M,A2EKSOLTKBGWTK,4.0,"03 19, 2012"
1665783,B00E8RK5OC,A2ZA9MYCJTO44C,3.0,"11 6, 2013"
942798,B000BITUWU,A3Q1FVRV0CRYTH,3.0,"01 25, 2006"
561524,B00004Z4WQ,A19ZXK9HHVRV1X,3.0,"12 9, 2000"
915942,B0009X7BD2,AQUU8S55JGY2H,4.0,"04 19, 2006"
647713,B00005JPAM,A1MNUAXPWP8BUJ,3.0,"11 7, 2012"
276861,6301966171,A1H4NFXAJQRQ2K,5.0,"09 7, 2011"
1380818,B0041KKYEM,A1X28NWPDMTDG7,3.0,"04 29, 2011"
1630042,B00BEIYMAG,A2BFIYZYNK54QX,5.0,"12 21, 2013"
1287207,B002SJIO4A,A2XRMQA6PJ5ZJ8,3.0,"02 14, 2010"
1191291,B001FB5634,AW3VZ5O895LRK,2.0,"09 7, 2011"
1190702,B001FB55L2,A1YRCG44URSYZ8,4.0,"06 17, 2010"
309285,6302380294,A33L7G4E8CID3,5.0,"12 15, 2000"
721989,B00006RCNW,A19HCQSC5FVOXW,5.0,"02 3, 2003"
689805,B00005YU1M,A2W00XKTTF1G0Z,2.0,"07 24, 2002"
317774,6302516986,AK2Q7ML2RANDN,5.0,"09 28, 2003"
35533,0780627024,AP3B615GM191G,5.0,"07 1, 2013"
225844,6300247171,A3S9887MZFNNH1,4.0,"01 27, 2000"
96361,0790731487,ASIA7V7CBSKD3,5.0,"09 10, 2005"
1512519,B0067EKYS6,A3QNDSQJFA360M,4.0,"10 4, 2013"
210442,6300214052,A18RQ2URRGIIEA,5.0,"10 30, 2003"
1686868,B00H9KKGTO,A2BFIYZYNK54QX,5.0,"01 20, 2014"
59296,0783227507,A3A48XEYWLWH7T,4.0,"10 22, 2003"
261394,6301666569,A1OBPHRXHZF8P6,4.0,"07 8, 2001"
1499439,B005S9EJ8W,A1WVA7V02PQOY6,5.0,"10 9, 2012"
490684,B000003KHS,ABO092BYA4VMU,5.0,"09 13, 2004"
861333,B00065HKKW,ACMAUJEBY6GJF,3.0,"03 27, 2005"
163251,0800130944,A1OGPR0AKZ4K7D,5.0,"03 26, 2008"
1154951,B0016Q2D5M,A9TG2NFA614S9,4.0,"08 30, 2008"
126313,0792140923,A2C7BOQVFH1HLE,5.0,"08 7, 2009"
946366,B000BO0LH2,AKD0Y0W8NSK0D,2.0,"04 11, 2013"
1581753,B0090SI56Y,A3LTZGHZBBBQX0,4.0,"07 31, 2013"
891605,B0007V6IT4,A3U56M0Y8LYO6J,3.0,"11 24, 2005"
618017,B00005JMEW,A3KJ6JAZPH382D,3.0,"10 27, 2003"
1308529,B002ZG98R8,A3JAS1JIZEN6WX,1.0,"09 14, 2013"
273534,6301935136,A1NV8HZTGKIPXQ,5.0,"01 1, 2012"
491173,B0000040E9,AD2DDHLD6FRFM,5.0,"12 13, 2001"
20879,0767836286,AHTMSD2BWUPLU,5.0,"06 28, 2000"
633062,B00005JNOG,AIRHRV3D8X4J1,5.0,"09 7, 2005"
1522367,B006X040NY,A26MJME9IBNETY,4.0,"02 2, 2013"
1680513,B00GSBMNOQ,A328S9RN3U5M68,5.0,"04 17, 2014"
457139,6305265488,A3KWXO6QE62Z5E,5.0,"03 31, 2001"
1475846,B005LAIHXQ,A1PME65QLLQSLA,5.0,"12 23, 2012"
810521,B0001MDP36,AR37967IAR6ZT,3.0,"12 11, 2003"
1190709,B001FB55L2,A328S9RN3U5M68,5.0,"03 28, 2010"
807975,B0001JXOUS,A928WN8NV03WZ,4.0,"05 27, 2004"
484048,6305949638,A3CWH6VKCTJAD,5.0,"08 19, 2000"
659914,B00005JPY0,A1F1FOR46702YF,5.0,"12 10, 2008"
585926,B00005JKDQ,A5KJVGJ43ZDC9,5.0,"09 28, 2002"
676609,B00005QZ7U,A29E6IO3DZG6IY,2.0,"08 22, 2010"
195981,5554819125,A1X7FS1H4R02W1,4.0,"03 10, 2007"
309883,6302380596,AQVBOVE8P7K3J,5.0,"07 9, 2011"
946444,B000BO0LH2,A2MNMZMM6BGLTA,4.0,"01 31, 2006"
182502,1559409037,AD0J5KK4WQXNS,5.0,"10 22, 2003"
423244,6304457316,A2TOU0N8XE68W4,4.0,"12 11, 2002"
425459,6304490135,AED954F4YR4JS,5.0,"08 13, 2012"
901934,B000957O7S,A2C5VLIJMDPWHI,4.0,"02 13, 2005"
1217070,B001MFNB4E,AHABFECTNE15I,4.0,"02 20, 2009"
1219417,B001NFNFF8,A9LAPV8XNKZVZ,3.0,"02 4, 2010"
931631,B000ARFPMQ,A2UKC6QFG9L5GV,5.0,"10 2, 2005"
805842,B0001HAISG,A385C064Y38OFK,5.0,"03 6, 2006"
611043,B00005JM0B,A1GHUN5HXMHZ89,4.0,"11 13, 2003"
611280,B00005JM0B,A3HLUNEJUT3MSP,1.0,"07 8, 2003"
915387,B0009X763C,A1N7YA81ZI4KAF,3.0,"02 5, 2006"
519000,B00003CWQ2,A2198O25QYUPXE,5.0,"10 2, 2011"
