user,item,rating,pred
A3OT1WCOZLZV5D,6301327756,5.0,4.763798101521462
A1E2POEKKLNLD9,B00005JMJ4,5.0,3.0270009404838727
A35PF4XXTB5A8H,B00005O061,5.0,3.898271539640179
AJUEE2C2EJ0V3,B00005JL3T,3.0,3.3465963258149705
A2W39GGRWSFU7K,6302206294,3.0,3.3874181364266405
AMYMJ96STIRW,B00BEIYLO8,1.0,3.051761559952454
A1E7VTRDMI4XMV,6304383177,5.0,5.0
A3SOV9HFM5H9T1,B008220DGE,4.0,3.9431115775460617
A2Y1SCM930PZI7,B0001DMVBC,4.0,3.8488260763716178
AUGABW5AS2OXM,6300215865,5.0,5.0
A3D6DPWQW509R9,6302453224,5.0,4.962877119114377
AO4ZG16RR30OM,6300215695,5.0,5.0
AYWSFRCIMOAYE,0767825411,2.0,3.277005484768928
A3JXPMX8E59PL1,6301543408,4.0,2.851540662339768
A3AEN6JWPGUWFM,B00004RYDC,4.0,3.5002366983656605
A1BED4EH3VRX5K,B000TGJ8A8,3.0,2.618422344967157
AC05OLIRGOS7P,0790729342,5.0,5.0
AS2J1Q4Y0ZM5A,B0009PLLN6,1.0,2.2269137521699225
A2KG8WLR1AKO12,B00009NHAR,5.0,4.222643792089336
A2UBSGFCP2QFNV,B007MDB548,4.0,4.840292018641558
A2NZAGMAS7N5ZP,630420065X,4.0,3.638077018251537
A2YY1J4OPSHQJV,B00AF6B22E,4.0,4.042192284914061
A1OPS217DE4ZRP,B0009OL7Z4,5.0,3.889828719035142
A2RD0B8LLOSMCQ,6300181510,3.0,3.2787867450316104
A17FLA8HQOFVIG,B00009OOFA,1.0,3.3595639134257826
A18LMYMKHT65PO,B00CIXVAN8,4.0,4.405249551309846
A2KB14WCZ1DVE3,0783226152,5.0,4.298028001907627
A3F0HT2YG3X6CD,6302843200,3.0,4.686862683504781
A2T049UQONS0OY,B0007PALGG,3.0,3.706122116731613
AO461REE0KA4J,630401967X,5.0,4.0200871375301
A203GFDF90DSWD,0788860704,5.0,5.0
ARFCORBCTKX1J,1558908382,4.0,3.970699473192534
A2GT65YTNYXBW3,B000069HYD,4.0,3.412940190613266
A38RO46GVRD56P,B000BNX3AU,1.0,2.8409106363681653
AKD9FWMGD6AZM,B002IKIHE6,2.0,2.385962391300466
A3SFO2GSP5CVSM,6303449050,5.0,3.9459258570991333
A3CX9ZSEFCDXX4,B0027P94CQ,4.0,3.976082294284592
A2UPE7OTFZS84O,B00CUDD0J8,4.0,1.9393235816180134
A18GP1PWVTKXQQ,B00005JPOE,5.0,2.8158352617462366
A23U3IKN7CWO3Y,0790729628,4.0,3.84182387051131
A2V29IO9JQQF5P,B001EAWMGA,5.0,3.765826278227821
A1R09II733292R,B000BOH8UA,3.0,4.456187661920804
A1EAN2SFKYBJ05,B00005JPAR,4.0,4.017991251338642
A34BP6PCVMX46G,B0000633ZP,3.0,2.916631644947949
A7Y6AVS576M03,B00003CXJ1,5.0,4.509662936966933
A31X9O49RQUNZ1,0790736403,4.0,3.6270423879839724
AGU2ZGUBFCJTJ,6301966554,4.0,4.270928577928548
A1XT8AJB7S9JJG,B0059XTUB8,4.0,3.887216824246816
A3KY68OTSNHM3G,B00003CXZ1,4.0,3.980301375921165
ABM4K7QY8N4UZ,6304708432,5.0,3.9584523983088244
A319YRDK8Y39N,B00006CXHU,4.0,3.927395284583492
A2FI3IJB2W4YJB,6304331851,5.0,4.076825569476235
AIIR8E34EDKCQ,1415720584,5.0,3.5946426359511836
