user,item,rating,prediction
A3OT1WCOZLZV5D,6301327756,5.0,4.628661922369586
A1E2POEKKLNLD9,B00005JMJ4,5.0,3.1780858480944825
A35PF4XXTB5A8H,B00005O061,5.0,4.005635537123323
AJUEE2C2EJ0V3,B00005JL3T,3.0,3.647254316719404
A2W39GGRWSFU7K,6302206294,3.0,2.840164602981245
AMYMJ96STIRW,B00BEIYLO8,1.0,3.6951939377431664
A1E7VTRDMI4XMV,6304383177,5.0,5.0
A3SOV9HFM5H9T1,B008220DGE,4.0,4.4084901848723765
A2Y1SCM930PZI7,B0001DMVBC,4.0,3.099646501288938
AUGABW5AS2OXM,6300215865,5.0,4.929060742416857
A3D6DPWQW509R9,6302453224,5.0,5.0
AO4ZG16RR30OM,6300215695,5.0,5.0
AYWSFRCIMOAYE,0767825411,2.0,2.4320093570852004
A3JXPMX8E59PL1,6301543408,4.0,3.3239331935824006
A3AEN6JWPGUWFM,B00004RYDC,4.0,3.1415901459823177
A1BED4EH3VRX5K,B000TGJ8A8,3.0,2.787369738808238
AC05OLIRGOS7P,0790729342,5.0,4.71545290940086
AS2J1Q4Y0ZM5A,B0009PLLN6,1.0,3.5489007684292795
A2KG8WLR1AKO12,B00009NHAR,5.0,4.344673326491948
A2UBSGFCP2QFNV,B007MDB548,4.0,4.512079206629233
A2NZAGMAS7N5ZP,630420065X,4.0,3.60377508074962
A2YY1J4OPSHQJV,B00AF6B22E,4.0,4.083415736031032
A1OPS217DE4ZRP,B0009OL7Z4,5.0,4.8237669285719305
A2RD0B8LLOSMCQ,6300181510,3.0,4.199064354281856
A17FLA8HQOFVIG,B00009OOFA,1.0,4.083340753528549
A18LMYMKHT65PO,B00CIXVAN8,4.0,4.250860307978271
A2KB14WCZ1DVE3,0783226152,5.0,4.096183091465585
A3F0HT2YG3X6CD,6302843200,3.0,4.622758856262291
A2T049UQONS0OY,B0007PALGG,3.0,3.5571711726244595
AO461REE0KA4J,630401967X,5.0,4.679872623727189
A203GFDF90DSWD,0788860704,5.0,4.999999999999999
ARFCORBCTKX1J,1558908382,4.0,4.032099761393955
A2GT65YTNYXBW3,B000069HYD,4.0,4.38534847019281
A38RO46GVRD56P,B000BNX3AU,1.0,4.1180128972782795
AKD9FWMGD6AZM,B002IKIHE6,2.0,3.55465460917769
A3SFO2GSP5CVSM,6303449050,5.0,3.7364583530095667
A3CX9ZSEFCDXX4,B0027P94CQ,4.0,4.601726346430167
A2UPE7OTFZS84O,B00CUDD0J8,4.0,2.3784979766146503
A18GP1PWVTKXQQ,B00005JPOE,5.0,2.4658905259352735
A23U3IKN7CWO3Y,0790729628,4.0,3.6947989380684287
A2V29IO9JQQF5P,B001EAWMGA,5.0,3.248273695760445
A1R09II733292R,B000BOH8UA,3.0,3.9917092479035605
A1EAN2SFKYBJ05,B00005JPAR,4.0,4.919524016965439
A34BP6PCVMX46G,B0000633ZP,3.0,3.02284278612328
A7Y6AVS576M03,B00003CXJ1,5.0,4.442706149276134
A31X9O49RQUNZ1,0790736403,4.0,3.751622296222584
AGU2ZGUBFCJTJ,6301966554,4.0,3.711472484860536
A1XT8AJB7S9JJG,B0059XTUB8,4.0,3.625564968850557
A3KY68OTSNHM3G,B00003CXZ1,4.0,4.5634592199690776
ABM4K7QY8N4UZ,6304708432,5.0,3.769927243082727
A319YRDK8Y39N,B00006CXHU,4.0,3.7451154341184223
A2FI3IJB2W4YJB,6304331851,5.0,4.36583407328157
AIIR8E34EDKCQ,1415720584,5.0,4.0320140336748445
A6FXJ74CGS4EB,1573624039,5.0,4.515295605948943
A3HJAIFRRFHUAB,B004BDOF1C,4.0,4.362435482824984
AD0J5KK4WQXNS,0783113145,4.0,3.795572823683028
A2X6GEC6LCDN4S,B0009S4J1O,5.0,4.490061843045057
A27H9DOUGY9FOS,156219464X,5.0,3.8863894109810913
A2WX1UESDOLXRE,B000HCO87C,3.0,3.9427990956880077
AUSATFDSU2INS,B00006ADFO,2.0,4.216822699779868
A31ARSC1LGY8WK,6301599896,4.0,3.714791342274903
AZFCS75RSV25W,0792140923,5.0,4.471861654392028
AAQ9CPQNDWIW,B001CIOCJ4,4.0,4.545369151912407
AP3VHIZBRGO9X,B00005JLZK,4.0,4.108145273620367
A1VF0102Z9VITO,6304240554,4.0,3.8163245126367453
A3I9DM8V0M6U6H,6305238065,3.0,2.8493272857595815
A331OF34UX4Y1K,B0002J4X3O,2.0,2.3465152359382455
A3RFXU3P0XKKF4,B0059XTUVI,2.0,3.7965549851189566
AJMU8VVFKMZI4,0800129806,3.0,3.7656203493637435
A391RY3TA1MCVM,B004NJR4EO,2.0,2.6458643302867753
A2TAPSNKK9AFSQ,6301963725,5.0,4.98200501167104
A3GRANSGMYPX00,B00005JMG8,3.0,4.204985450964536
A2FS6OGMZMALTD,B00005JKCH,3.0,3.510666291122512
A2F1P10GGZ7K2T,B000BPK2IY,3.0,3.185155372355026
AO1Z0TQWCRGL4,B00006A8T4,5.0,4.890224890765562
A370Z6I5GBWU44,B001HN69AE,2.0,3.61043971235459
A19MMJMNCJEBTS,B002VPE1AW,5.0,4.4753532305167605
AGZVS6M8XJGN6,6303990444,3.0,3.859518145623863
A3QZ81L3DIO5C1,6302035058,5.0,4.9469897927107
