user,item,rating,prediction
A3OT1WCOZLZV5D,6301327756,5.0,4.744664732999754
A1E2POEKKLNLD9,B00005JMJ4,5.0,3.546950868623034
A35PF4XXTB5A8H,B00005O061,5.0,3.660138259178195
AJUEE2C2EJ0V3,B00005JL3T,3.0,3.2213976985744353
A2W39GGRWSFU7K,6302206294,3.0,3.4390959090994606
AMYMJ96STIRW,B00BEIYLO8,1.0,2.659272622147331
A1E7VTRDMI4XMV,6304383177,5.0,5.629647007781087
A3SOV9HFM5H9T1,B008220DGE,4.0,3.7340924690341857
A2Y1SCM930PZI7,B0001DMVBC,4.0,3.6716679915683814
AUGABW5AS2OXM,6300215865,5.0,5.191369962592807
A3D6DPWQW509R9,6302453224,5.0,4.938040671563659
AO4ZG16RR30OM,6300215695,5.0,5.114511803785939
AYWSFRCIMOAYE,0767825411,2.0,3.4260683645461447
A3JXPMX8E59PL1,6301543408,4.0,2.945545380630331
A3AEN6JWPGUWFM,B00004RYDC,4.0,3.4480904426471315
A1BED4EH3VRX5K,B000TGJ8A8,3.0,2.9077151417842066
AC05OLIRGOS7P,0790729342,5.0,5.4977024763633615
AS2J1Q4Y0ZM5A,B0009PLLN6,1.0,2.2571546293702816
A2KG8WLR1AKO12,B00009NHAR,5.0,3.947716666561494
A2UBSGFCP2QFNV,B007MDB548,4.0,4.839560594553197
A2NZAGMAS7N5ZP,630420065X,4.0,3.6455246516292963
A2YY1J4OPSHQJV,B00AF6B22E,4.0,3.940340825457879
A1OPS217DE4ZRP,B0009OL7Z4,5.0,4.100970511119481
A2RD0B8LLOSMCQ,6300181510,3.0,3.2169675370420108
A17FLA8HQOFVIG,B00009OOFA,1.0,3.173297567200343
A18LMYMKHT65PO,B00CIXVAN8,4.0,4.379165893423603
A2KB14WCZ1DVE3,0783226152,5.0,4.523698639278149
A3F0HT2YG3X6CD,6302843200,3.0,4.699677728104615
A2T049UQONS0OY,B0007PALGG,3.0,3.58835439968447
AO461REE0KA4J,630401967X,5.0,4.150756167010026
A203GFDF90DSWD,0788860704,5.0,5.325271768505719
ARFCORBCTKX1J,1558908382,4.0,4.088578937935095
A2GT65YTNYXBW3,B000069HYD,4.0,3.9856258777959903
A38RO46GVRD56P,B000BNX3AU,1.0,2.8152556551966974
AKD9FWMGD6AZM,B002IKIHE6,2.0,2.4782928113999163
A3SFO2GSP5CVSM,6303449050,5.0,3.902314664958757
A3CX9ZSEFCDXX4,B0027P94CQ,4.0,3.9810046760324265
A2UPE7OTFZS84O,B00CUDD0J8,4.0,2.260704493327747
A18GP1PWVTKXQQ,B00005JPOE,5.0,2.8353835923216337
A23U3IKN7CWO3Y,0790729628,4.0,3.9441248672270235
A2V29IO9JQQF5P,B001EAWMGA,5.0,3.7307818028479725
A1R09II733292R,B000BOH8UA,3.0,4.513613065792645
A1EAN2SFKYBJ05,B00005JPAR,4.0,4.1842457162736695
A34BP6PCVMX46G,B0000633ZP,3.0,2.5208260436798557
A7Y6AVS576M03,B00003CXJ1,5.0,4.633192728979849
A31X9O49RQUNZ1,0790736403,4.0,3.7479448092463725
AGU2ZGUBFCJTJ,6301966554,4.0,4.0601743398258545
